accom_name,accom_rating,num_rating
Drapery Place,4.1,38
Bailey Street,4.4,22
Athena Studios,4.7,16
Lewisham Exchange,4,14
Bailey Fields,4.4,18
Lennon Studios,4.4,8
Pebble Mill,4.3,14
true Liverpool,4,3
Chapter King's Cross,3.8,22
Nurtur House Sheffield,4.3,41
Nottingham Two,3.9,12
iQ Tufnell House,4.4,29
Brass Founders,4.7,94
iQ Broderick House,1,1
The Ascent,5,1
Vega,2.9,14
true Birmingham,4.9,28
Hillside House,2.9,15
Station Street,4.5,26
Prospect Point,4.3,15
The Village,4.7,17
Steelworks,3,3
St Vincents Place,5,1
St Lukes View,4.8,9
Stratford One,4,28
Cadnam Hall,4.8,12
iQ Fenton House,4.5,19
iQ Great Newton House,3.8,12
Spring Mews,4.7,19
New Era Student Living,4.3,62
Cambridge Court,4.2,13
Belgrave View,4,4
Brook Studios,3.5,2
iQ Hammersmith,3.9,11
Grand Central,3.7,15
Exchange Works,3,2
Portchester House,4.9,8
The Old Fire Station,5,1
Clarendon Street,4,3
Horizon Heights,4.6,7
Blackfriars,4.7,6
Talbot Street,5,2
Emily Bowes Court,4.4,27
Kincardine Court,4.2,21
Telephone House,4.9,21
Beechenhurst House,1.7,3
Paddington Park House,4.5,2
The Vantage,2.3,4
Circle Square,4.4,45
Hollis Croft,4.6,13
The Pavilion Birmingham,4.5,11
iQ Bankside,5,4
true Glasgow,4.4,37
Albert Court,4.7,12
iQ Wilmslow Park,4.6,29
New Park,4.7,9
West Village,4.5,41
iQ Knight House,4.9,18
Selly Oak Court – Birmingham,4.3,13
The Rise – Nottingham,4,1
iQ Brocco,4.6,5
Haigh Court,3.3,7
Chapter Ealing,4,37
iQ Lambert & Fairfield House,3.2,11
iQ Newland House,4.6,10
Portland Crescent,4.6,15
iQ Steel,5,1
Kensington House,2.7,6
Myrtle Court,3.7,3
Rusholme Place,3.9,12
Host Student Apartments,4.8,5
The Edge,4.5,4
iQ Newtown House,1,1
Aspect 3,4.4,7
Manchester Student Village,4.4,20
iQ Fountainbridge,4.5,19
Scape Shoreditch,4.3,8
St. Albans,4.5,11
Cambrian Point,4.6,66
Rahere Court,4.7,15
White Rose View,4.5,15
Newgate Court,4.7,7
Park View,3,1
Liv Sheffield,4.3,3
Adam Street Gardens,3.7,3
Apollo Court,1,1
Chapter Islington,3.8,13
Sharman Court,4.8,32
Concept Place,4.7,32
Strawberry Place,4.8,12
Bowman House,3,2
Sky Plaza,4.4,36
Urbanest Westminster,5,3
Steel City,4.1,10
Calico,5,8
The Fitzalan,4.8,13
iQ Kerria Apartments,4.3,3
iQ Altus House,4.5,18
iQ Aldgate,4,10
iQ Grove,4.4,18
Newcastle Glassworks,5,4
The Lantern,5,1
City Heights – Cardiff,4.8,5
St. Marks,4.3,3
The Tannery,5,2
The Plaza,4.4,29
iQ Bloomsbury,5,1
Boulevard Wharf,5,2
Zenith – Cardiff,4.7,9
Corner House,4,1
The Kingfisher,3.9,18
The Bank – Leicester,4,1
Capital Gate,4,2
Bridge Street Exchange,4.6,40
iQ Hoxton,4.3,3
Westgate,5,6
Central Quay,4.6,32
Archer House,5,2
Portland House,5,3
Salisbury Road,4.7,3
Crosshall St.,1,1
iQ Shoreditch,5,2
Infinity,4.2,19
The Depot,5,6
Verde,4.6,23
THE REFINERY,4.5,6
Europa,5,1
Blackweir Lodge,4.5,6
iQ Grosvenor House,4,1
Piccadilly Point,4.5,90
Canvas Coventry Arundel House,4.9,13
Newcastle 1,5,1
Hope Street Apartments,4.7,7
Renslade House,4.8,8
iQ Marsden House,5,1
Central Place,5,2
The Bakery,4,1
St James' House,5,1
iQ Century Square,4.4,20
One Islington Plaza,4.7,3
iQ Leeds,4,1
Iron Bridge Studios,4.3,8
Waterways,4,1
iQ Castings,3,2
Meadow Court – Edinburgh,5,1
Mercury Point,4.8,13
Blithehale Court,4.3,23
Straits Manor,4.5,26
St James' Point,1,1
The West Wing,4.8,18
Queen's Park House,2.8,4
iQ Aspley House,5,3
Luxurio,5,2
YOHO – Leicester,3,3
Fontenoy Apartments,5,1
McDonald Road,5,1
Crown Place Cardiff,4.5,30
CitySide,5,1
Primus Place,4.7,7
New Medlock House,4.2,5
Devonshire Courtyard,5,1
Study Inn - Loughborough,4,1
Wellington St Plaza,4.7,6
Scape Mile End,1,1
iQ Little Aspley House,4.7,3
Windsor Court,3.3,4
iQ Kopa,3,1
Burley Road,4.5,11
iQ Weaver Place,4.9,8
Student Living Heights,4.5,8
Edge Apartments - Leicester,3.8,5
Manor Bank,5,3
King Street Exchange,5,9
Caton Court,4.5,2
Glendower House – Cardiff,3,2
The Moor,3,1
Urbanest Hoxton,4.2,5
Green Wood Court,5,6
The View,5,4
Lawrence St.,4.5,17
The Tannery,5,1
Causeway View,5,4
"Stoneworks, Brighton",5,1
Severn Point,5,1
Crown House-Reading,5,2
